"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TNFRSF13B",0,0.751515774248398,0.519,0.093,0,"0","TNFRSF13B"
"RP5-887A10.1",1.82648376143499e-223,0.817197459851172,0.398,0.077,3.02063884466119e-219,"0","RP5-887A10.1"
"CLECL1",2.82426874795847e-185,0.479597216477362,0.355,0.072,4.67077565537373e-181,"0","CLECL1"
"COTL1",7.19330696061744e-141,0.61013815610612,0.736,0.479,1.18962910514691e-136,"0","COTL1"
"SCIMP",2.11742873580459e-133,0.384019431274496,0.297,0.071,3.50180364327363e-129,"0","SCIMP"
"KLF6",2.54721402804638e-131,0.691380927848564,0.772,0.519,4.2125825595831e-127,"0","KLF6"
"AIM2",3.83303350536707e-117,0.343052692764436,0.29,0.077,6.33907081117606e-113,"0","AIM2"
"CTSH",1.31587752781401e-115,0.552856196907901,0.608,0.363,2.17619825549881e-111,"0","CTSH"
"CD82",5.77154583753909e-114,0.444717457761792,0.432,0.187,9.54498250612214e-110,"0","CD82"
"MS4A1",6.38964925138647e-114,0.54726133125,0.931,0.644,1.0567201931943e-109,"0","MS4A1"
"HLA-A",1.26298317091319e-102,0.29263841233522,0.997,0.978,2.08872156805623e-98,"0","HLA-A"
"CAPG",6.95810194021718e-102,0.45961608055869,0.456,0.226,1.15073089887312e-97,"0","CAPG"
"HLA-DPB1",7.15603900982806e-96,0.45987728090415,0.983,0.791,1.18346573144536e-91,"0","HLA-DPB1"
"HLA-DQB1",5.76292796287247e-92,0.442996485809445,0.971,0.75,9.53073026499849e-88,"0","HLA-DQB1"
"CRIP1",3.37602498166446e-90,0.291014720249842,0.464,0.228,5.58327011467669e-86,"0","CRIP1"
"CD24",3.38514824031972e-90,0.444470754527444,0.464,0.238,5.59835815984075e-86,"0","CD24"
"HLA-DPA1",2.38013315356146e-87,0.427349501067808,0.99,0.858,3.93626420935995e-83,"0","HLA-DPA1"
"MYL12A",5.70644541585445e-83,0.417885437313479,0.864,0.719,9.4373194287401e-79,"0","MYL12A"
"ITGB1",8.76064784688091e-83,0.419839242856266,0.36,0.163,1.44883594091716e-78,"0","ITGB1"
"AL928768.3",2.24562762395972e-82,0.78202096017844,0.345,0.149,3.71381896450458e-78,"0","AL928768.3"
"PPP1R15A",3.34590297633616e-82,0.457870719211376,0.687,0.481,5.53345434226474e-78,"0","PPP1R15A"
"BANK1",1.93727578104479e-78,0.37662584974656,0.667,0.442,3.20386668669188e-74,"0","BANK1"
"LTB",5.02163302935308e-78,0.479887957580742,0.875,0.66,8.30477670394413e-74,"0","LTB"
"HLA-E",8.20982530062786e-78,0.346844101437978,0.976,0.935,1.35774090821784e-73,"0","HLA-E"
"LY86",5.09082472709186e-77,0.355457325759667,0.586,0.366,8.41920593366453e-73,"0","LY86"
"TOMM7",5.67986789475192e-77,0.374856456819614,0.907,0.793,9.39336552434072e-73,"0","TOMM7"
"GPR183",1.26234334639599e-76,0.431211017044168,0.469,0.264,2.08766342626969e-72,"0","GPR183"
"SMIM14",3.05746061259438e-75,0.517032105957422,0.577,0.378,5.05642836110858e-71,"0","SMIM14"
"RPS29",7.00248145559977e-75,0.315888870811773,1,0.994,1.15807038312709e-70,"0","RPS29"
"LAPTM5",4.23995564554555e-72,0.407048646251423,0.938,0.757,7.01203864660322e-68,"0","LAPTM5"
"RPS14",1.42978233804879e-71,0.294650342708759,0.999,0.994,2.36457403066508e-67,"0","RPS14"
"EVI2B",1.56082583691824e-69,0.381822397790264,0.654,0.473,2.58129376909539e-65,"0","EVI2B"
"CD48",3.64637005404343e-68,0.341770776982995,0.741,0.535,6.03036679537702e-64,"0","CD48"
"RPL36",5.137497901582e-66,0.271551008706408,0.998,0.985,8.4963940296363e-62,"0","RPL36"
"RPS15A",8.03541418303451e-66,0.260911610704413,1,0.996,1.32889679759025e-61,"0","RPS15A"
"TSC22D3",1.2976870034276e-64,0.438348523664117,0.867,0.75,2.14611476626856e-60,"0","TSC22D3"
"MARCH1",1.77563087992197e-63,0.317040407650281,0.47,0.274,2.93653834921495e-59,"0","MARCH1"
"BLK",4.16676872066164e-63,0.300845075590938,0.451,0.257,6.89100211023022e-59,"0","BLK"
"RNASET2",4.57087261616207e-63,0.3550279692289,0.659,0.483,7.55930913260883e-59,"0","RNASET2"
"CD99",1.14495940181797e-62,0.364071143165665,0.558,0.383,1.89353385872655e-58,"0","CD99"
"BCL2A1",1.27912676930656e-62,0.287049234617748,0.319,0.151,2.11541985107919e-58,"0","BCL2A1"
"ACTG1",2.01124826676343e-61,0.445266998397996,0.955,0.876,3.32620238357335e-57,"0","ACTG1"
"CLIC1",1.54076715262575e-60,0.339180755740103,0.795,0.659,2.54812071701246e-56,"0","CLIC1"
"RPL14",1.72723299999461e-60,0.272076297167416,0.997,0.976,2.85649793539109e-56,"0","RPL14"
"RPL27A",8.93338426815611e-59,0.2779595238965,1,0.994,1.47740309026766e-54,"0","RPL27A"
"UBE2N",1.20770617595939e-58,0.320491665904627,0.484,0.306,1.99730447380164e-54,"0","UBE2N"
"CALM2",7.80579384701269e-58,0.403521434466023,0.755,0.639,1.29092218641896e-53,"0","CALM2"
"INPP5D",9.51225857791417e-58,0.284472077587204,0.446,0.266,1.57313732361544e-53,"0","INPP5D"
"ACP5",5.80831339954552e-57,0.311767349237845,0.368,0.199,9.60578870016838e-53,"0","ACP5"
"RPS28",5.20586104131467e-55,0.262460968355414,1,0.993,8.60945299012621e-51,"0","RPS28"
"SLC25A6",6.85293246324131e-55,0.300226134328552,0.905,0.852,1.13333797077085e-50,"0","SLC25A6"
"ZFAS1",2.31622179856884e-54,0.341386723158807,0.74,0.574,3.83056761047315e-50,"0","ZFAS1"
"RPL38",9.41079984919719e-54,0.284947265570498,0.996,0.957,1.55635807906023e-49,"0","RPL38"
"CD74",7.67132155554274e-53,0.328894446844961,1,0.983,1.26868315885566e-48,"0","CD74"
"IDS",1.02403864880515e-52,0.304835074526437,0.449,0.28,1.69355511739397e-48,"0","IDS"
"PSMB9",5.75665258914242e-52,0.355568349311128,0.7,0.562,9.52035205192374e-48,"0","PSMB9"
"RPLP2",6.27419377265675e-52,0.287429300242014,1,0.997,1.03762616612197e-47,"0","RPLP2"
"TPM3",7.27248896554788e-52,0.316702261287452,0.613,0.445,1.20272422512231e-47,"0","TPM3"
"ATP6V0E1",4.92335573909429e-51,0.300201320887645,0.729,0.598,8.14224572131414e-47,"0","ATP6V0E1"
"CD53",6.35836049509532e-51,0.331973491678924,0.788,0.64,1.05154565867886e-46,"0","CD53"
"KLF2",2.03732957440034e-50,0.37713860774855,0.476,0.307,3.36933565014328e-46,"0","KLF2"
"HLA-DQA1",2.04788929109291e-50,0.301416942921093,0.937,0.711,3.38679930960945e-46,"0","HLA-DQA1"
"CCDC50",7.76689197286081e-50,0.279372340454699,0.324,0.175,1.28448859447172e-45,"0","CCDC50"
"HLA-DRA",1.06058178793415e-49,0.34080732195524,0.997,0.899,1.7539901608855e-45,"0","HLA-DRA"
"RPL36A",7.31771702619325e-49,0.288273469417466,0.973,0.908,1.21020404179184e-44,"0","RPL36A"
"TCF4",2.88984288748066e-47,0.266703623914796,0.383,0.225,4.77922216731551e-43,"0","TCF4"
"GPSM3",5.93070178990546e-47,0.284124785547161,0.703,0.544,9.80819462014566e-43,"0","GPSM3"
"AC090498.1",7.25065089694064e-47,0.278782269318151,0.872,0.762,1.19911264533604e-42,"0","AC090498.1"
"ARHGAP24",7.44744195848833e-47,0.267033904553545,0.42,0.26,1.2316579510948e-42,"0","ARHGAP24"
"TAGLN2",1.47776193710351e-46,0.331283245081222,0.6,0.447,2.44392269158178e-42,"0","TAGLN2"
"BCAS4",1.24825750718701e-45,0.255648920992958,0.371,0.217,2.06436826538587e-41,"0","BCAS4"
"GSTK1",1.49503587731455e-45,0.313019991174333,0.518,0.374,2.4724903339028e-41,"0","GSTK1"
"LSP1",4.76107946727348e-45,0.303427689630092,0.681,0.54,7.87387322297688e-41,"0","LSP1"
"CMTM6",3.3969495674615e-44,0.266561068305575,0.379,0.23,5.61787519466782e-40,"0","CMTM6"
"RPL39",1.82839300551964e-43,0.2548719049536,1,0.987,3.02379635252838e-39,"0","RPL39"
"PTPN6",2.33466427161623e-43,0.282287606420063,0.517,0.359,3.86106777239892e-39,"0","PTPN6"
"VASP",1.30987402721775e-42,0.273846864887803,0.492,0.339,2.16626966621271e-38,"0","VASP"
"ACAP1",1.86530517376064e-42,0.271399308410921,0.63,0.476,3.08484169636534e-38,"0","ACAP1"
"SRSF5",2.41731237162853e-42,0.264544265221754,0.768,0.634,3.99775120019927e-38,"0","SRSF5"
"PNRC1",4.37732978677107e-42,0.263721645612041,0.728,0.582,7.239228001362e-38,"0","PNRC1"
"ARL6IP5",8.87020826132361e-42,0.283709826235265,0.616,0.473,1.4669550422577e-37,"0","ARL6IP5"
"ACTB",2.34109392246612e-41,0.332480100683471,0.998,0.963,3.87170112897447e-37,"0","ACTB"
"PNISR",5.34858414260559e-40,0.264961484375867,0.706,0.573,8.84548845504112e-36,"0","PNISR"
"NAP1L1",7.93198993374948e-39,0.264655135813117,0.731,0.596,1.31179249524349e-34,"0","NAP1L1"
"RP5-1171I10.5",9.85636906375648e-39,0.25301388221893,0.311,0.181,1.63004631576405e-34,"0","RP5-1171I10.5"
"PLP2",6.67129999616086e-38,0.263644690099297,0.448,0.306,1.10329959336508e-33,"0","PLP2"
"ARPC1B",7.33086275372982e-38,0.338491605579655,0.741,0.616,1.21237808221184e-33,"0","ARPC1B"
"POU2F2",8.63991947982148e-38,0.289929788662506,0.537,0.398,1.42886988357288e-33,"0","POU2F2"
"SYNGR2",1.75497938180536e-37,0.2757880003919,0.561,0.417,2.90238490162971e-33,"0","SYNGR2"
"YWHAZ",5.09068722595332e-37,0.255777560606122,0.584,0.445,8.4189785342816e-33,"0","YWHAZ"
"HLA-DRB5",3.8466255566561e-36,0.286104046200186,0.767,0.624,6.36154934559786e-32,"0","HLA-DRB5"
"CD44",1.72112378782528e-35,0.27610889482948,0.632,0.519,2.84639452030545e-31,"0","CD44"
"SELL",9.84190072670458e-34,0.252566823634985,0.641,0.488,1.6276535421824e-29,"0","SELL"
"RAC2",1.28570734369432e-30,0.251926705118347,0.751,0.652,2.12630280500166e-26,"0","RAC2"
"ARPC2",4.02928777080427e-30,0.268928384080679,0.813,0.744,6.66363611535611e-26,"0","ARPC2"
"HLA-DQA2",1.92868402746961e-28,0.294103140113904,0.365,0.241,3.18965764462924e-24,"0","HLA-DQA2"
"IFI44L",5.94686031862449e-23,0.322051384874611,0.258,0.168,9.83491759494118e-19,"0","IFI44L"
"DUSP1",3.77591851848787e-22,0.258459910425083,0.82,0.748,6.24461404587524e-18,"0","DUSP1"
"PLAC8",3.35842054075892e-21,0.299966115846394,0.523,0.415,5.5541558903071e-17,"0","PLAC8"
"MX1",7.76335442723624e-18,0.333001702478336,0.316,0.235,1.28390355517633e-13,"0","MX1"
"RP11-386I14.4",3.07478504229087e-15,0.32569298738575,0.441,0.365,5.08507950294063e-11,"0","RP11-386I14.4"
"NFKBIA",1.06780587343828e-12,0.273083940714103,0.512,0.447,1.76593735349222e-08,"0","NFKBIA"
"ISG15",8.77680509071913e-05,0.263375522577574,0.386,0.357,1,"0","ISG15"
"TCL1A",0,1.7759306515759,0.846,0.105,0,"1","TCL1A"
"IGHD",0,1.18320880654291,0.845,0.132,0,"1","IGHD"
"FCER2",0,1.03346614207411,0.654,0.137,0,"1","FCER2"
"CD72",9.34033799714643e-294,0.707252859380643,0.527,0.115,1.54470509796808e-289,"1","CD72"
"CD79B",9.77054545975772e-275,0.870269806999356,0.943,0.673,1.61585280813473e-270,"1","CD79B"
"BTG1",2.17025308496849e-197,0.700779189955159,0.994,0.868,3.58916455192089e-193,"1","BTG1"
"RPL18A",1.25879096266187e-183,0.468315897649428,1,0.996,2.0817884940502e-179,"1","RPL18A"
"HLA-DRB1",1.15216714481678e-169,0.716604188431966,0.998,0.874,1.90545402409799e-165,"1","HLA-DRB1"
"PHACTR1",6.09096322650077e-169,0.614831482919291,0.532,0.202,1.0073234983987e-164,"1","PHACTR1"
"HVCN1",2.00752829868502e-164,0.602399407765846,0.65,0.317,3.32005030036529e-160,"1","HVCN1"
"CXCR4",8.43328031218461e-157,0.729347257752404,0.922,0.721,1.39469589802909e-152,"1","CXCR4"
"RP11-231C14.7",5.44430707864758e-156,0.44915777051341,0.399,0.117,9.00379504666736e-152,"1","RP11-231C14.7"
"CD52",3.92230560154473e-151,0.53582848982296,0.993,0.895,6.48670900383467e-147,"1","CD52"
"RPS5",1.77999113567752e-150,0.453206347352271,0.999,0.984,2.94374934018348e-146,"1","RPS5"
"CD79A",1.04043008840435e-140,0.400958929026914,0.986,0.903,1.72066328020311e-136,"1","CD79A"
"HLA-DRA1",5.2556443228138e-139,0.533736227455779,0.999,0.917,8.69178458106947e-135,"1","HLA-DRA"
"C1orf162",9.33699777449384e-138,0.406779746991584,0.389,0.122,1.54415269194579e-133,"1","C1orf162"
"CD741",1.29151380803725e-136,0.41143932532077,1,0.986,2.135905535732e-132,"1","CD74"
"IL4R",1.64566635630524e-135,0.407727528056863,0.311,0.077,2.7216030200576e-131,"1","IL4R"
"CD37",3.94465277970746e-132,0.52390434050202,0.978,0.753,6.5236667670802e-128,"1","CD37"
"RPS19",8.81783603764013e-128,0.371697394685186,1,0.998,1.45829372390493e-123,"1","RPS19"
"VPREB3",1.48773859222732e-125,0.579849735297768,0.72,0.406,2.46042208382555e-121,"1","VPREB3"
"NCF1",2.81086797833357e-114,0.531020967125274,0.735,0.496,4.64861346256806e-110,"1","NCF1"
"HLA-DQA11",8.75494015187642e-110,0.502980999126091,0.965,0.742,1.44789200231732e-105,"1","HLA-DQA1"
"LINC00926",1.28696742181955e-108,0.466007124520315,0.517,0.249,2.12838672220517e-104,"1","LINC00926"
"FAM129C",6.12262578933023e-107,0.32256793449974,0.295,0.087,1.01255985303943e-102,"1","FAM129C"
"MARCKSL1",2.29208495162966e-106,0.562051618181645,0.555,0.297,3.79065009300513e-102,"1","MARCKSL1"
"CD22",1.06197177010134e-103,0.459141056218783,0.584,0.314,1.7562889133936e-99,"1","CD22"
"HLA-DMB",1.12173790640517e-100,0.466914548873463,0.762,0.5,1.85513014961287e-96,"1","HLA-DMB"
"RPS17",2.30977002959658e-100,0.373968430448141,1,0.993,3.81989767494683e-96,"1","RPS17"
"RPS3A",7.66426777292027e-99,0.352507502116686,1,0.988,1.26751660428555e-94,"1","RPS3A"
"CHI3L2",7.74510746413447e-97,0.512335686262557,0.414,0.18,1.28088587241856e-92,"1","CHI3L2"
"RPSA",5.6345687201942e-93,0.379648115355264,0.998,0.963,9.31844974945716e-89,"1","RPSA"
"HLA-DMA",6.33094898906472e-91,0.42232906876265,0.863,0.636,1.04701234381152e-86,"1","HLA-DMA"
"RPL15",1.38531421735102e-90,0.309374286163643,1,0.992,2.29103265265512e-86,"1","RPL15"
"MEF2C",4.93861401478135e-84,0.46818948260163,0.748,0.539,8.1674798576454e-80,"1","MEF2C"
"RPS9",1.27409714923648e-83,0.30200216250279,1,0.989,2.1071018654073e-79,"1","RPS9"
"RPS4Y1",6.23822868543525e-83,0.434230085739448,0.831,0.603,1.03167825999728e-78,"1","RPS4Y1"
"RPL10A",4.29040503630155e-82,0.331177612878347,0.999,0.977,7.0954718490355e-78,"1","RPL10A"
"FOXP1",5.52096187407864e-82,0.359891479695561,0.448,0.221,9.13056674735125e-78,"1","FOXP1"
"GLTSCR2",1.85431996200425e-79,0.384602914362007,0.929,0.792,3.06667435316264e-75,"1","GLTSCR2"
"HLA-DPA11",4.26078188527593e-79,0.364624295884303,0.997,0.881,7.04648108186934e-75,"1","HLA-DPA1"
"RPL13",1.27308895390801e-78,0.287692876415948,1,0.999,2.10543451197307e-74,"1","RPL13"
"RPL7",1.60252778074345e-78,0.301757890274051,0.999,0.986,2.65026044379352e-74,"1","RPL7"
"TSPAN13",3.50480378630961e-78,0.332185942219281,0.401,0.191,5.79624450179883e-74,"1","TSPAN13"
"HLA-DQB11",4.35579220631128e-78,0.392353129078163,0.973,0.792,7.2036091507976e-74,"1","HLA-DQB1"
"GABPB1-AS1",4.61543674890342e-78,0.405079772277245,0.494,0.267,7.63300929533648e-74,"1","GABPB1-AS1"
"CD83",7.34816824612562e-77,0.388033632198401,0.513,0.277,1.21524006454425e-72,"1","CD83"
"RPL12",1.47101820915324e-76,0.316430737288215,1,0.987,2.43276991429763e-72,"1","RPL12"
"LIMD2",5.75799921202025e-75,0.363081377808952,0.831,0.613,9.52257909683908e-71,"1","LIMD2"
"CYB561A3",1.32183444917721e-74,0.371807398045374,0.529,0.3,2.18604981204927e-70,"1","CYB561A3"
"RPS23",3.68261320527382e-74,0.298526256338697,1,0.99,6.09030571888184e-70,"1","RPS23"
"NBEAL1",1.96663507537037e-73,0.477779547831548,0.864,0.747,3.25242108764752e-69,"1","NBEAL1"
"HLA-DPB11",2.5355547394771e-73,0.369517817745209,0.995,0.823,4.19330042814723e-69,"1","HLA-DPB1"
"RPLP0",1.03494905882023e-67,0.315445922370568,0.996,0.975,1.7115987534769e-63,"1","RPLP0"
"RPL8",2.44979034657796e-63,0.279983496147656,0.999,0.991,4.05146327517063e-59,"1","RPL8"
"RPL5",3.67659429722848e-63,0.298068250391706,0.997,0.962,6.08035164875646e-59,"1","RPL5"
"HLA-DRB51",1.6332108096466e-62,0.363448485739827,0.849,0.617,2.70100403699355e-58,"1","HLA-DRB5"
"H3F3A",1.87695561533147e-62,0.312723006966581,0.94,0.893,3.10410919663518e-58,"1","H3F3A"
"CD69",2.09927237190602e-62,0.35754343489763,0.703,0.498,3.47177664865817e-58,"1","CD69"
"C11orf31",5.69935216370518e-62,0.383504075855627,0.69,0.511,9.42558860833563e-58,"1","C11orf31"
"GNB2L1",4.094399427233e-61,0.262618822708874,0.998,0.971,6.77131777275793e-57,"1","GNB2L1"
"RPL23",5.16364968936818e-61,0.317976648995409,0.99,0.922,8.53964385627709e-57,"1","RPL23"
"RPL34",8.54066246369012e-61,0.25604368662743,1,0.997,1.41245475824507e-56,"1","RPL34"
"RPL26",1.86184103472548e-58,0.26380363015555,1,0.99,3.079112703229e-54,"1","RPL26"
"RP11-693J15.5",4.02654041599433e-57,0.276378649803168,0.363,0.183,6.65909253997141e-53,"1","RP11-693J15.5"
"FCMR",9.9830491973997e-57,0.310852939139371,0.481,0.284,1.65099667626596e-52,"1","FCMR"
"RPL29",8.38251050830926e-56,0.25457365893525,1,0.983,1.38629958786419e-51,"1","RPL29"
"HNRNPA1",1.03482076744606e-55,0.324941292022031,0.941,0.888,1.7113865852023e-51,"1","HNRNPA1"
"SNX2",2.03343100558912e-53,0.29414709500042,0.51,0.319,3.36288819704329e-49,"1","SNX2"
"RPS26",9.17233166186635e-52,0.462361344858031,0.904,0.847,1.51692021023946e-47,"1","RPS26"
"BLOC1S2",3.81101842970978e-51,0.264178386743412,0.376,0.206,6.30266227905404e-47,"1","BLOC1S2"
"RPL22",1.89181388559585e-50,0.267072243592456,0.988,0.952,3.12868180399842e-46,"1","RPL22"
"LTB1",2.42059821035822e-49,0.286937135050115,0.897,0.693,4.00318532029043e-45,"1","LTB"
"RPS10",6.27900408742733e-49,0.26966355006055,0.989,0.932,1.03842169597873e-44,"1","RPS10"
"RASGRP2",5.9250205779371e-48,0.252365155788387,0.377,0.208,9.79879903179238e-44,"1","RASGRP2"
"RCSD1",1.41042713148142e-47,0.318827999662836,0.537,0.36,2.33256439004397e-43,"1","RCSD1"
"CORO1A",2.3730261627959e-47,0.261113353101365,0.926,0.8,3.92451066803187e-43,"1","CORO1A"
"LAPTM51",1.19655164824371e-46,0.252948208117727,0.956,0.784,1.97885711586545e-42,"1","LAPTM5"
"STX7",7.37303857026266e-46,0.272256586657801,0.459,0.288,1.21935311875004e-41,"1","STX7"
"RNASE6",1.17548945698883e-44,0.295408239158854,0.374,0.217,1.94402446396813e-40,"1","RNASE6"
"HLA-DOB",1.39050724073003e-43,0.268792003541476,0.511,0.337,2.29962087471933e-39,"1","HLA-DOB"
"RHOH",1.41639245888598e-43,0.307382676657047,0.542,0.374,2.34242984850563e-39,"1","RHOH"
"ARHGDIB",2.0757628315235e-41,0.250793948158498,0.909,0.788,3.43289657077356e-37,"1","ARHGDIB"
"EEF1B2",1.99470552858392e-40,0.255059441652075,0.95,0.893,3.29884400317209e-36,"1","EEF1B2"
"LYL1",7.80390393932747e-40,0.25925304499464,0.425,0.267,1.29060963348598e-35,"1","LYL1"
"BIRC3",4.51521907781429e-38,0.290466636178965,0.458,0.304,7.46726931088928e-34,"1","BIRC3"
"PABPC1",1.50195591942491e-37,0.252094309900643,0.949,0.843,2.48393469954492e-33,"1","PABPC1"
"SNHG8",2.95791196578821e-36,0.337821986032799,0.593,0.458,4.89179480902055e-32,"1","SNHG8"
"HNRNPK",2.21976716577434e-35,0.274924157816244,0.712,0.595,3.6710509387576e-31,"1","HNRNPK"
"CLEC2D",2.58419641195775e-35,0.253148858928585,0.454,0.301,4.27374402609573e-31,"1","CLEC2D"
"YBX1",7.03028110432629e-34,0.296942313342232,0.848,0.776,1.16266788903348e-29,"1","YBX1"
"TNFRSF13C",1.77240929993525e-31,0.259063956246845,0.571,0.421,2.93121050023291e-27,"1","TNFRSF13C"
"STAG3",7.75762697217634e-30,0.265825281093978,0.255,0.143,1.28295634865852e-25,"1","STAG3"
"IGHG1",0,6.59991133372502,0.861,0.469,0,"2","IGHG1"
"IGHG2",0,5.9701763385004,0.779,0.168,0,"2","IGHG2"
